  0.00e+00  1.00e-04
  4.17e-01  1.00e-04
  4.21e-01  1.00e-04
  4.25e-01  2.14e-02
  4.26e-01  4.38e-02
  4.29e-01  8.07e-02
  4.30e-01  1.23e-01
  4.32e-01  1.56e-01
  4.33e-01  1.91e-01
  4.35e-01  2.34e-01
  4.36e-01  2.71e-01
  4.38e-01  3.05e-01
  4.39e-01  3.40e-01
  4.41e-01  3.73e-01
  4.43e-01  4.10e-01
  4.44e-01  4.40e-01
  4.46e-01  4.69e-01
  4.48e-01  5.01e-01
  4.51e-01  5.31e-01
  4.54e-01  5.67e-01
  4.55e-01  5.98e-01
  4.58e-01  6.28e-01
  4.60e-01  6.52e-01
  4.63e-01  6.83e-01
  4.66e-01  7.22e-01
  4.70e-01  7.58e-01
  4.73e-01  7.89e-01
  4.76e-01  8.22e-01
  4.81e-01  8.51e-01
  4.84e-01  8.79e-01
  4.88e-01  9.09e-01
  4.93e-01  9.36e-01
  5.00e-01  9.69e-01
  5.08e-01  1.00e+00
  5.19e-01  1.03e+00
  5.32e-01  1.05e+00
  5.47e-01  1.06e+00
  5.62e-01  1.05e+00
  5.77e-01  1.04e+00
  5.92e-01  1.02e+00
  5.99e-01  1.00e+00
  6.10e-01  9.91e-01
  6.16e-01  9.72e-01
  6.28e-01  9.52e-01
  6.37e-01  9.26e-01
  6.46e-01  9.07e-01
  6.54e-01  8.82e-01
  6.63e-01  8.55e-01
  6.73e-01  8.24e-01
  6.83e-01  7.91e-01
  6.92e-01  7.55e-01
  7.02e-01  7.21e-01
  7.12e-01  6.87e-01
  7.22e-01  6.52e-01
  7.32e-01  6.17e-01
  7.41e-01  5.84e-01
  7.48e-01  5.60e-01
  7.55e-01  5.36e-01
  7.64e-01  5.08e-01
  7.74e-01  4.76e-01
  7.85e-01  4.42e-01
  7.96e-01  4.11e-01
  8.07e-01  3.82e-01
  8.16e-01  3.57e-01
  8.28e-01  3.27e-01
  8.41e-01  2.99e-01
  8.53e-01  2.74e-01
  8.65e-01  2.51e-01
  8.79e-01  2.28e-01
  8.94e-01  2.04e-01
  9.09e-01  1.85e-01
  9.24e-01  1.67e-01
  9.39e-01  1.50e-01
  9.54e-01  1.36e-01
  9.69e-01  1.22e-01
  9.84e-01  1.10e-01
  9.99e-01  9.91e-02
  1.01e+00  8.93e-02
  1.03e+00  8.07e-02
  1.04e+00  7.27e-02
  1.06e+00  6.51e-02
  1.07e+00  5.84e-02
  1.09e+00  5.29e-02
  1.10e+00  4.74e-02
  1.12e+00  4.34e-02
  1.13e+00  3.84e-02
  1.15e+00  3.45e-02
  1.16e+00  3.02e-02
  1.18e+00  2.79e-02
  1.19e+00  2.40e-02
  1.21e+00  1.90e-02
  1.22e+00  1.50e-02
  1.24e+00  1.30e-02
  1.25e+00  1.10e-02
  1.27e+00  8.00e-03
  1.28e+00  6.00e-03
  1.30e+00  3.00e-03
  1.32e+00  1.00e-03
  1.42e+00  5.00e-04
  1.42e+00  1.00e-04
  1.43e+00  2.14e-02
  1.43e+00  4.38e-02
  1.43e+00  8.07e-02
  1.43e+00  1.23e-01
  1.43e+00  1.56e-01
  1.43e+00  1.91e-01
  1.43e+00  2.34e-01
  1.44e+00  2.71e-01
  1.44e+00  3.05e-01
  1.44e+00  3.40e-01
  1.44e+00  3.73e-01
  1.44e+00  4.10e-01
  1.44e+00  4.40e-01
  1.45e+00  4.69e-01
  1.45e+00  5.01e-01
  1.45e+00  5.31e-01
  1.45e+00  5.67e-01
  1.45e+00  5.98e-01
  1.46e+00  6.28e-01
  1.46e+00  6.52e-01
  1.46e+00  6.83e-01
  1.47e+00  7.22e-01
  1.47e+00  7.58e-01
  1.47e+00  7.89e-01
  1.48e+00  8.22e-01
  1.48e+00  8.51e-01
  1.48e+00  8.79e-01
  1.49e+00  9.09e-01
  1.49e+00  9.36e-01
  1.50e+00  9.69e-01
  1.51e+00  1.00e+00
  1.52e+00  1.03e+00
  1.53e+00  1.05e+00
  1.55e+00  1.06e+00
  1.56e+00  1.05e+00
  1.58e+00  1.04e+00
  1.59e+00  1.02e+00
  1.60e+00  1.00e+00
  1.61e+00  9.91e-01
  1.62e+00  9.72e-01
  1.63e+00  9.52e-01
  1.64e+00  9.26e-01
  1.65e+00  9.07e-01
  1.65e+00  8.82e-01
  1.66e+00  8.55e-01
  1.67e+00  8.24e-01
  1.68e+00  7.91e-01
  1.69e+00  7.55e-01
  1.70e+00  7.21e-01
  1.71e+00  6.87e-01
  1.72e+00  6.52e-01
  1.73e+00  6.17e-01
  1.74e+00  5.84e-01
  1.75e+00  5.60e-01
  1.76e+00  5.36e-01
  1.76e+00  5.08e-01
  1.77e+00  4.76e-01
  1.78e+00  4.42e-01
  1.80e+00  4.11e-01
  1.81e+00  3.82e-01
  1.82e+00  3.57e-01
  1.83e+00  3.27e-01
  1.84e+00  2.99e-01
  1.85e+00  2.74e-01
  1.87e+00  2.51e-01
  1.88e+00  2.28e-01
  1.89e+00  2.04e-01
  1.91e+00  1.85e-01
  1.92e+00  1.67e-01
  1.94e+00  1.50e-01
  1.95e+00  1.36e-01
  1.97e+00  1.22e-01
  1.98e+00  1.10e-01
  2.00e+00  9.91e-02
  2.01e+00  8.93e-02
  2.03e+00  8.07e-02
  2.04e+00  7.27e-02
  2.06e+00  6.51e-02
  2.07e+00  5.84e-02
  2.09e+00  5.29e-02
  2.10e+00  4.74e-02
  2.12e+00  4.34e-02
  2.13e+00  3.84e-02
  2.15e+00  3.45e-02
  2.16e+00  3.02e-02
  2.18e+00  2.79e-02
  2.19e+00  2.40e-02
  2.21e+00  1.90e-02
  2.22e+00  1.50e-02
  2.24e+00  1.30e-02
  2.25e+00  1.10e-02
  2.27e+00  8.00e-03
  2.28e+00  6.00e-03
  2.30e+00  3.00e-03
  2.32e+00  1.00e-03
  2.42e+00  5.00e-04
  2.42e+00  1.00e-04
