C Number of self contact surfaces
    2   
C Crvene povrsine
 3846    3  5.0e+001
C Podaci
      9003     18399     18368     18342     18290         6
      9005     18401     18399     18290     18289         6
      9007     18164     18401     18289     18272         6
      9073     18529     18503     18454     18431         6
      9075     18527     18529     18431     18432         6
      9077     18525     18527     18432     18424         6
      9099     18122     18117     18148     18193         6
      9108     18119     18120     18188     18189         6
      9175     18647     18652     18607     18608         6
      9176     18666     18647     18608     18609         6
      9178     18652     18649     18606     18607         6
      9186     18663     18665     18611     18612         6
      9188     18665     18669     18610     18611         6
      9190     18669     18666     18609     18610         6
      9239     19120     19089     19063     19011         6
      9241     19122     19120     19011     19010         6
      9243     18895     19122     19010     18993         6
      9271     18802     18807     18757     18758         6
      9272     18821     18802     18758     18759         6
      9274     18807     18804     18756     18757         6
      9282     18818     18820     18761     18762         6
      9284     18820     18824     18760     18761         6
      9286     18824     18821     18759     18760         6
      9357     19238     19214     19170     19147         6
      9359     19236     19238     19147     19148         6
      9361     18671     19236     19148     18580         6
      9383     18853     18739     18879     18919         6
      9392     18850     18851     18914     18915         6
      9475     19309     19341     19351     19297         6
      9477     19425     19309     19297     19296         6
      9479     19427     19425     19296     19304         6
      9545     20047     20057     20091     19452         6
      9547     20079     20047     19452     19453         6
      9549     18826     20079     19453     18720         6
      9571     20236     20231     20331     20311         6
      9580     20233     20234     20306     20307         6
      9663     19813     19968     19748     19286         6
      9665     19815     19813     19286     19284         6
      9667     19792     19815     19284     19698         6
      9695     19567     19294     19521     19522         6
      9696     19683     19567     19522     19523         6
      9698     19294     19291     19520     19521         6
      9706     19680     19682     19525     19526         6
      9708     19682     19686     19524     19525         6
      9710     19686     19683     19523     19524         6
      9781     20122     19933     20189     20166         6
      9783     19957     20122     20166     20167         6
      9785     19955     19957     20167     19838         6
      9807     19594     19503     19776     19647         6
      9816     19591     19592     19642     19643         6
      9899     22467     22496     22506     22563         6
      9901     22414     22467     22563     22562         6
      9903     20437     22414     22562     20384         6
      9969     21055     21065     21099     22439         6
      9971     21087     21055     22439     22440         6
      9973     19688     21087     22440     19484         6
      9995     20515     20510     20481     20461         6
     10004     20512     20513     20456     20457         6
     10071     22285     22290     22303     22304         6
     10072     22272     22285     22304     22305         6
     10074     22290     22287     22302     22303         6
     10082     22571     22573     22307     22308         6
     10084     22573     22275     22306     22307         6
     10086     22275     22272     22305     22306         6
     10135     21969     21940     22116     22069         6
     10137     21971     21969     22069     22068         6
     10139     21973     21971     22068     22051         6
     10205     21784     21905     21856     21833         6
     10207     21929     21784     21833     21834         6
     10209     21927     21929     21834     21996         6
     10231     22210     22253     22144     22184         6
     10240     22207     22208     22179     22180         6
     10323     20570     20604     22262     20543         6
     10325     21698     20570     20543     20542         6
     10327     20977     21698     20542     20561         6
     10393     20731     20741     20777     21728         6
     10395     20765     20731     21728     21729         6
     10397     20763     20765     21729     21721         6
     10419     20921     20916     21026     21006         6
     10428     20918     20919     21001     21002         6
     10495     21611     21616     21629     21630         6
     10496     21484     21611     21630     21631         6
     10498     21616     21613     21628     21629         6
     10506     20564     20566     21633     21634         6
     10508     20566     21487     21632     21633         6
     10510     21487     21484     21631     21632         6
     10559     21138     20641     21261     20551         6
     10561     21140     21138     20551     20549         6
     10563     21142     21140     20549     21220         6
     10591     21475     20540     21567     21568         6
     10592     21347     21475     21568     21569         6
     10594     20540     20343     21566     21567         6
     10602     21344     21346     21571     21572         6
     10604     21346     21350     21570     21571         6
     10606     21350     21347     21569     21570         6
     10677     20808     20606     20875     20852         6
     10679     20630     20808     20852     20853         6
     10681     20628     20630     20853     21165         6
     10703     21510     21549     21289     21459         6
     10712     21507     21508     21454     21455         6
     10795     22720     22615     22839     22581         6
     10797     22722     22720     22581     22579         6
     10799     22724     22722     22579     22798         6
     10865     22625     22582     22688     22665         6
     10867     22604     22625     22665     22666         6
     10869     21352     22604     22666     21530         6
     10891     23012     23024     22867     23001         6
     10900     23009     23010     22996     22997         6
     10942     27473     23860     27516     27503         6
     10944     27443     27473     27503     27457         6
     10950     23861     24266     24053     27521         6
     10952     23860     23861     27521     27516         6
     10960     27442     27443     27457     27456         6
     11032     24309     24203     24223     24256         6
     11053     24304     24305     24278     24279         6
     11159     23321     23322     23451     23452         6
     11161     23322     23325     23450     23451         6
     11163     23325     23504     23479     23450         6
     11226     23276     23166     23236     23223         6
     11228     23155     23276     23223     23260         6
     11234     23167     23647     23343     23241         6
     11236     23166     23167     23241     23236         6
     11244     23154     23155     23260     23259         6
     11316     23632     23576     23379     23558         6
     11337     23682     23683     23521     23522         6
     11395     23101     23102     24426     24447         6
     11397     23102     23105     24425     24426         6
     11399     23105     23869     23128     24425         6
     11414     24517     23139     24560     24547         6
     11416     24705     24517     24547     24501         6
     11422     23140     24762     23056     24565         6
     11424     23139     23140     24565     24560         6
     11432     24704     24705     24501     24500         6
     11504     24677     24480     24722     24751         6
     11525     24672     24673     24774     24775         6
     11650     24405     24588     24340     24645         6
     11652     24577     24405     24645     27641         6
     11658     24589     27719     27533     27623         6
     11660     24588     24589     27623     24340         6
     11668     24491     24577     27641     27640         6
     11740     27807     27683     27569     27756         6
