bars_x,bars_y,distr_x,distr_sum_y,distr_1_y,distr_2_y,distr_3_y,distr_4_y,distr_5_y
172,1,172,0.0491635025615287,1.02438436385693e-85,5.03390096437916e-15,2.6378994480799e-28,4.43572229617514e-17,0.0491635025615236
174,0,174,0.0301250066329811,6.68988771839175e-88,1.47950182629251e-15,1.44241390037612e-29,4.53137560163222e-18,0.0301250066329796
176,4,176,0.0180862418483645,4.1042264182617e-90,4.26052571978013e-16,7.40931665550889e-31,4.34862912264046e-19,0.0180862418483641
178,4,178,0.0106391360835518,2.36537710692184e-92,1.20211972817255e-16,3.57538659521112e-32,3.92040805561793e-20,0.0106391360835517
180,2,180,0.00613198722269901,1.28063704875751e-94,3.32329661266807e-17,1.62078143757302e-33,3.32021930742382e-21,0.00613198722269897
182,2,182,0.00346284430857815,6.51340868978046e-97,9.00175798484959e-18,6.90211984133842e-35,2.64155016935413e-22,0.00346284430857814
184,3,184,0.00191602661654354,3.11205448263018e-99,2.38903442412029e-18,2.76119534171875e-36,1.97427456730973e-23,0.00191602661654354
186,2,186,0.00103874024205915,1.39682708885162e-101,6.21232731805779e-19,1.03769174840963e-37,1.38615831160465e-24,0.00103874024205914
188,5,188,0.000551758743010377,5.88972070718963e-104,1.58278927790493e-19,3.66349994563533e-39,9.14270507889286e-26,0.000551758743010377
190,0,190,0.000287162904573981,2.33293880937096e-106,3.95119730166243e-20,1.215012120876e-40,5.66491219705546e-27,0.000287162904573981
192,3,192,0.000146434800077907,8.6809766825666e-109,9.66431731127996e-21,3.78548584301073e-42,3.29737431009988e-28,0.000146434800077907
194,3,194,7.31639437366015e-05,3.03452295022143e-111,2.31606366015045e-21,1.10794764095697e-43,1.80301737547015e-29,7.31639437366015e-05
196,2,196,3.58167984365475e-05,9.96480622927746e-114,5.43834370002867e-22,3.04630541723013e-45,9.26164581938611e-31,3.58167984365475e-05
198,2,198,1.71796086323184e-05,3.0740001512936e-116,1.25117960772188e-22,7.8683603878616e-47,4.4692332440139e-32,1.71796086323184e-05
