   0.000000000E+00,   0.112820275E+04,   0.104016542E+04
   0.100000000E+00,   0.122041953E+04,   0.104016542E+04
   0.200000000E+00,   0.125016970E+04,   0.276174348E+04
   0.300000000E+00,   0.127256190E+04,   0.522477999E+04
   0.400000000E+00,   0.130138197E+04,   0.756733177E+04
   0.500000000E+00,   0.129849268E+04,   0.871205077E+04
   0.600000000E+00,   0.111029967E+04,   0.860710959E+04
   0.700000000E+00,   0.108792301E+04,   0.859780052E+04
   0.800000000E+00,   0.110072111E+04,   0.851041547E+04
   0.900000000E+00,   0.111096589E+04,   0.847857020E+04
   0.100000000E+01,   0.112820275E+04,   0.849750703E+04
   0.110000000E+01,   0.112820275E+04,   0.104016542E+04
