C Cilindar2
Nnodes, Nelem, nodeOffset, elemOffset (4I6)
  9016  4480  9017  4481
      9088  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.90000010 1 1 1
      9089  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.86249995 1 1 1
      9090  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.82500005 1 1 1
      9091  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.78749990 1 1 1
      9092  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.75000000 1 1 1
      9093  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.71250010 1 1 1
      9094  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.67499995 1 1 1
      9095  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.63750005 1 1 1
      9096  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.59999990 1 1 1
      9097  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.56250000 1 1 1
      9098  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.52500010 1 1 1
      9099  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.48749995 1 1 1
      9100  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.45000005 1 1 1
      9101  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.41249990 1 1 1
      9102  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.37500000 1 1 1
      9103  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.33750010 1 1 1
      9104  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.29999995 1 1 1
      9105  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.26250005 1 1 1
      9106  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.22499990 1 1 1
      9107  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.18750000 1 1 1
      9108  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.15000010 1 1 1
      9109  0 0 0 1 1 1 1 1       0.34999999       0.00000000       8.11249995 1 1 1
